"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"Akron OH 2011","Med","2011","570","70","297","5729","4704","16.79","86.81","3.25","3.69","6141","14","11453","25","1.12","279","622"
"Akron OH 2010","Med","2010","570","70","296","5738","4712","16.3","88.12","2.64","2.96","6099","14","11374","25","1.12","286","637"
"Akron OH 2012","Med","2012","570","71","298","5480","4400","17.14","89.56","3.58","3.87","6299","14","11747","26","1.12","281","625"
"Akron OH 2013","Med","2013","570","73","298","5660","4475","17.39","89.6","3.48","3.91","6404","14","11943","26","1.12","281","627"
"Akron OH 2014","Med","2014","570","73","292","5847","4493","17.67","94.04","3.16","3.67","6586","15","12283","27","1.13","284","634"
"Albany-Schenectady NY 2011","Med","2011","610","66","299","7173","5501","16.79","86.81","3.65","3.99","9650","20","19376","40","1.18","478","990"
"Albany-Schenectady NY 2010","Med","2010","610","67","298","7161","5429","16.3","88.12","2.95","3.21","9554","20","19184","40","1.17","488","1011"
"Albany-Schenectady NY 2012","Med","2012","610","67","300","7060","5490","17.14","89.56","3.75","4.17","9780","20","19638","41","1.18","475","983"
"Albany-Schenectady NY 2013","Med","2013","610","68","300","7068","5513","17.39","89.6","3.79","4.2","9976","21","20031","42","1.18","477","988"
"Albany-Schenectady NY 2014","Med","2014","610","68","300","7273","5623","17.67","94.04","3.63","3.92","10164","21","20409","42","1.18","479","991"
"Albuquerque NM 2011","Med","2011","740","57","364","5469","7627","16.79","86.81","3.31","3.69","10596","19","19771","36","1.18","509","901"
"Albuquerque NM 2010","Med","2010","740","57","370","5326","7566","16.3","88.12","2.71","2.94","10453","18","19503","35","1.18","518","917"
"Albuquerque NM 2012","Med","2012","740","57","360","5025","7220","17.14","89.56","3.24","3.89","10705","19","19975","37","1.19","504","892"
"Albuquerque NM 2013","Med","2013","745","57","359","4818","7584","17.39","89.6","3.42","3.84","10829","19","20206","37","1.19","503","889"
"Albuquerque NM 2014","Med","2014","760","57","380","4736","7834","17.67","94.04","3.2","3.57","10961","19","20452","36","1.18","501","886"
"Allentown PA-NJ 2011","Med","2011","645","63","330","5096","5399","16.79","86.81","3.41","3.79","8527","15","16691","30","1.19","404","713"
"Allentown PA-NJ 2010","Med","2010","640","63","326","5080","5382","16.3","88.12","2.78","3.12","8432","15","16506","30","1.19","412","727"
"Allentown PA-NJ 2012","Med","2012","650","63","333","5080","5400","17.14","89.56","3.55","4","8594","15","16824","30","1.19","399","704"
"Allentown PA-NJ 2013","Med","2013","650","64","333","5310","5284","17.39","89.6","3.52","3.93","8662","15","16956","30","1.19","396","699"
"Allentown PA-NJ 2014","Med","2014","655","64","329","5427","5231","17.67","94.04","3.36","3.69","8743","15","17114","30","1.19","393","694"
"Anchorage AK 2010","Sml","2010","260","95","131","1400","1973","16.3","88.12","3.42","3.66","3316","17","6353","34","1.21","169","854"
"Anchorage AK 2012","Sml","2012","260","95","132","1365","1890","17.14","89.56","3.89","4.18","3564","18","6828","36","1.22","172","872"
"Anchorage AK 2013","Sml","2013","270","95","137","1370","2170","17.39","89.6","4.01","4.29","3625","18","6945","35","1.22","173","874"
"Anchorage AK 2014","Sml","2014","275","95","137","1415","2240","17.67","94.04","3.91","3.98","3847","19","7371","37","1.23","181","913"
"Atlanta GA 2011","Vlg","2011","4360","9","2062","49501","43201","16.79","86.81","3.2","3.64","54738","19","142482","51","1.31","3241","1140"
"Atlanta GA 2010","Vlg","2010","4300","9","2053","48865","42646","16.3","88.12","2.6","2.88","53947","19","140424","50","1.31","3295","1159"
"Atlanta GA 2012","Vlg","2012","4425","9","2054","50245","43850","17.14","89.56","3.43","3.86","55513","20","144501","51","1.31","3221","1132"
"Atlanta GA 2013","Vlg","2013","4475","9","2077","49469","44233","17.39","89.6","3.41","3.86","56536","20","147164","52","1.31","3233","1137"
"Atlanta GA 2014","Vlg","2014","4500","9","2069","51003","46002","17.67","94.04","3.18","3.57","57113","20","148666","52","1.32","3214","1130"
"Austin TX 2011","Lrg","2011","1410","35","711","12650","11004","16.79","86.81","3.29","3.56","19491","20","46010","47","1.41","1080","1098"
"Austin TX 2010","Lrg","2010","1370","36","689","12274","10677","16.3","88.12","2.56","2.83","18547","19","43781","46","1.4","1060","1078"
"Austin TX 2012","Lrg","2012","1460","34","719","12510","10680","17.14","89.56","3.33","3.75","20538","21","48482","49","1.42","1115","1134"
"Austin TX 2013","Lrg","2013","1480","34","712","12849","10805","17.39","89.6","3.37","3.76","21205","22","50055","51","1.43","1135","1154"
"Austin TX 2014","Lrg","2014","1500","34","705","13273","11237","17.67","94.04","3.12","3.47","21654","22","51116","52","1.44","1140","1159"
"Bakersfield CA 2011","Med","2011","510","76","267","2173","4481","16.79","86.81","3.51","4.02","2978","7","6366","16","1.1","180","429"
"Bakersfield CA 2010","Med","2010","508","77","265","2149","4432","16.3","88.12","3.05","3.2","2825","7","6038","15","1.09","176","420"
"Bakersfield CA 2012","Med","2012","515","77","271","2205","4500","17.14","89.56","3.89","4.2","3112","7","6653","16","1.1","184","439"
"Bakersfield CA 2013","Med","2013","520","78","273","2240","5187","17.39","89.6","3.89","4.12","3138","7","6708","16","1.1","183","437"
"Bakersfield CA 2014","Med","2014","525","77","271","2186","4980","17.67","94.04","3.63","3.85","3743","9","8001","19","1.12","215","512"
"Baltimore MD 2010","Lrg","2010","2510","17","1226","26678","18251","16.3","88.12","2.73","2.98","34687","19","78614","44","1.3","2021","1086"
"Baltimore MD 2014","Lrg","2014","2600","18","1261","28412","19258","17.67","94.04","3.28","3.52","38661","21","87620","47","1.32","2075","1115"
"Baton Rouge LA 2011","Med","2011","605","68","317","4858","8012","16.79","86.81","3.28","3.56","10728","22","20530","44","1.23","581","1177"
"Baton Rouge LA 2010","Med","2010","600","68","313","4714","7973","16.3","88.12","2.61","2.84","10670","22","20420","44","1.23","596","1208"
"Baton Rouge LA 2012","Med","2012","610","67","320","4745","8300","17.14","89.56","3.35","3.74","10974","22","21001","44","1.23","583","1180"
"Baton Rouge LA 2013","Med","2013","615","67","323","4922","8388","17.39","89.6","3.34","3.75","11534","23","22072","46","1.24","603","1222"
"Baton Rouge LA 2014","Med","2014","630","65","338","5030","8304","17.67","94.04","3.14","3.48","12104","25","23163","47","1.25","623","1262"
"Beaumont TX 2011","Sml","2011","240","98","128","2985","3266","16.79","86.81","3.29","3.56","3303","14","7306","31","1.18","182","767"
"Beaumont TX 2010","Sml","2010","240","98","128","2973","3253","16.3","88.12","2.56","2.83","3279","14","7253","31","1.18","187","785"
"Beaumont TX 2012","Sml","2012","240","99","130","3005","3210","17.14","89.56","3.33","3.75","3327","14","7359","31","1.18","180","757"
"Beaumont TX 2013","Sml","2013","240","99","130","2963","2655","17.39","89.6","3.37","3.76","3500","15","7743","33","1.19","187","784"
"Beaumont TX 2014","Sml","2014","240","99","130","2981","2705","17.67","94.04","3.12","3.47","3629","15","8028","34","1.19","190","800"
"Birmingham AL 2011","Med","2011","780","54","413","10184","7969","16.79","86.81","3.12","3.59","8654","15","18426","33","1.16","502","891"
"Birmingham AL 2010","Med","2010","775","54","409","10160","7900","16.3","88.12","2.6","2.86","8445","15","17981","33","1.16","505","897"
"Birmingham AL 2012","Med","2012","785","55","417","9595","7865","17.14","89.56","3.33","3.78","8938","16","19031","34","1.16","508","902"
"Birmingham AL 2013","Med","2013","790","55","419","9833","7571","17.39","89.6","3.28","3.78","9081","16","19335","34","1.16","508","903"
"Birmingham AL 2014","Med","2014","795","55","415","10059","7473","17.67","94.04","3.06","3.48","9105","16","19385","34","1.17","501","891"
"Boise ID 2011","Sml","2011","345","91","172","1617","4225","16.79","86.81","3.31","3.77","4522","14","9535","32","1.17","226","699"
"Boise ID 2010","Sml","2010","335","91","166","1592","4159","16.3","88.12","2.84","3.11","4432","14","9345","32","1.17","228","707"
"Boise ID 2012","Sml","2012","355","90","177","1520","4170","17.14","89.56","3.35","4.01","4621","14","9744","32","1.17","226","700"
"Boise ID 2013","Sml","2013","365","88","182","1674","4173","17.39","89.6","3.68","4.02","5005","16","10553","34","1.18","241","747"
"Boise ID 2014","Sml","2014","375","86","186","1691","4281","17.67","94.04","3.57","3.81","5673","18","11963","37","1.2","269","833"
"Boston MA-NH-RI 2011","Vlg","2011","4320","10","1678","42357","34942","16.79","86.81","3.49","3.73","68658","28","147663","62","1.38","3394","1401"
"Boston MA-NH-RI 2010","Vlg","2010","4295","10","1661","42102","34732","16.3","88.12","2.75","3.04","67307","28","144756","61","1.37","3432","1417"
"Boston MA-NH-RI 2012","Vlg","2012","4355","10","1695","40905","35240","17.14","89.56","3.53","3.93","70078","29","150717","63","1.38","3394","1401"
"Boston MA-NH-RI 2013","Vlg","2013","4395","10","1697","41470","36019","17.39","89.6","3.58","3.94","70862","29","152402","63","1.38","3382","1396"
"Boston MA-NH-RI 2014","Vlg","2014","4440","10","1704","41097","36127","17.67","94.04","3.42","3.65","71602","30","153994","64","1.38","3363","1388"
"Boulder CO 2010","Sml","2010","110","101","55","673","1025","16.3","88.12","2.62","2.9","1951","17","3612","35","1.24","85","722"
"Boulder CO 2012","Sml","2012","115","101","59","660","1000","17.14","89.56","3.28","3.85","2051","17","3798","35","1.24","85","721"
"Boulder CO 2013","Sml","2013","120","101","61","630","988","17.39","89.6","3.54","3.8","2121","18","3927","35","1.24","87","735"
"Boulder CO 2014","Sml","2014","125","101","64","610","1025","17.67","94.04","3.33","3.59","2204","19","4080","35","1.24","89","752"
"Bridgeport-Stamford CT-NY 2011","Med","2011","930","49","457","10873","5974","16.79","86.81","3.59","3.9","15541","20","34779","47","1.43","886","1158"
"Bridgeport-Stamford CT-NY 2010","Med","2010","925","48","453","10692","5929","16.3","88.12","2.91","3.2","15304","20","34249","47","1.43","900","1176"
"Bridgeport-Stamford CT-NY 2012","Med","2012","935","49","461","10410","5980","17.14","89.56","3.75","4.17","15883","21","35544","48","1.44","887","1160"
"Bridgeport-Stamford CT-NY 2013","Med","2013","950","49","468","10214","5794","17.39","89.6","3.82","4.2","16298","21","36474","49","1.44","897","1173"
"Bridgeport-Stamford CT-NY 2014","Med","2014","955","49","479","10030","5649","17.67","94.04","3.65","3.87","16586","22","37119","49","1.44","898","1174"
"Brownsville TX 2011","Sml","2011","205","100","108","842","1517","16.79","86.81","3.29","3.56","1837","11","3457","22","1.16","84","512"
"Brownsville TX 2010","Sml","2010","200","100","105","830","1496","16.3","88.12","2.56","2.83","1785","11","3360","22","1.16","84","513"
"Brownsville TX 2012","Sml","2012","205","100","108","935","1505","17.14","89.56","3.33","3.75","1847","11","3475","22","1.16","82","504"
"Brownsville TX 2013","Sml","2013","210","100","111","754","1508","17.39","89.6","3.37","3.76","1857","11","3494","22","1.16","82","499"
"Brownsville TX 2014","Sml","2014","210","100","112","724","1568","17.67","94.04","3.12","3.47","1866","11","3511","21","1.16","81","494"
"Buffalo NY 2011","Med","2011","1000","45","455","6931","9604","16.79","86.81","3.65","3.99","13757","20","26285","38","1.17","639","946"
"Buffalo NY 2010","Med","2010","1015","43","459","6938","9613","16.3","88.12","2.95","3.21","13509","20","25811","37","1.17","647","958"
"Buffalo NY 2012","Med","2012","985","45","457","6560","9515","17.14","89.56","3.75","4.17","13870","21","26500","38","1.18","631","935"
"Buffalo NY 2013","Med","2013","965","47","448","6662","9409","17.39","89.6","3.79","4.2","13983","21","26716","39","1.18","627","929"
"Buffalo NY 2014","Med","2014","945","50","451","6709","9164","17.67","94.04","3.63","3.92","14053","21","26851","40","1.18","620","918"
"Cape Coral FL 2011","Med","2011","505","78","261","1793","5879","16.79","86.81","3.24","3.65","5504","13","12654","33","1.2","296","688"
"Cape Coral FL 2010","Med","2010","490","78","252","1763","5780","16.3","88.12","2.74","2.96","5499","13","12642","34","1.2","305","709"
"Cape Coral FL 2012","Med","2012","520","75","269","1730","5860","17.14","89.56","3.5","3.87","5548","13","12754","32","1.19","293","679"
"Cape Coral FL 2013","Med","2013","545","75","282","1768","5808","17.39","89.6","3.47","3.9","5591","13","12854","31","1.18","291","674"
"Cape Coral FL 2014","Med","2014","570","73","290","1787","5936","17.67","94.04","3.27","3.6","5637","13","12959","30","1.18","288","669"
"Charleston-North Charleston SC 2011","Med","2011","550","74","278","3754","6021","16.79","86.81","3.14","3.53","8593","19","17543","42","1.27","471","1050"
"Charleston-North Charleston SC 2010","Med","2010","535","74","269","3677","5897","16.3","88.12","2.56","2.8","8264","18","16871","42","1.27","468","1041"
"Charleston-North Charleston SC 2012","Med","2012","570","71","288","3705","5995","17.14","89.56","3.27","3.72","8798","20","17960","42","1.27","473","1053"
"Charleston-North Charleston SC 2013","Med","2013","590","70","298","3822","5968","17.39","89.6","3.23","3.7","8905","20","18178","41","1.26","472","1050"
"Charleston-North Charleston SC 2014","Med","2014","600","69","298","3971","6141","17.67","94.04","3","3.43","9024","20","18422","41","1.27","470","1047"
"Charlotte NC-SC 2011","Lrg","2011","1100","40","558","12797","10066","16.79","86.81","3.32","3.64","12619","16","31320","42","1.28","743","929"
"Charlotte NC-SC 2010","Lrg","2010","1070","40","541","12582","9897","16.3","88.12","2.7","2.93","12232","15","30360","42","1.28","743","929"
"Charlotte NC-SC 2012","Lrg","2012","1140","40","579","12285","9770","17.14","89.56","3.49","3.89","13138","16","32610","42","1.29","758","948"
"Charlotte NC-SC 2013","Lrg","2013","1170","40","595","12416","10225","17.39","89.6","3.44","3.89","13658","17","33900","43","1.29","777","971"
"Charlotte NC-SC 2014","Lrg","2014","1200","38","598","12776","10348","17.67","94.04","3.19","3.57","13760","17","34153","43","1.29","770","963"
"Chicago IL-IN 2011","Vlg","2011","8620","3","3673","62791","51500","16.79","86.81","3.51","3.74","143592","29","295531","57","1.32","7423","1485"
"Chicago IL-IN 2010","Vlg","2010","8583","3","3705","60800","49326","16.3","88.12","2.79","3.04","141451","28","291125","55","1.32","7543","1509"
"Chicago IL-IN 2012","Vlg","2012","8650","3","3638","55380","48145","17.14","89.56","3.73","3.92","144252","29","296890","57","1.33","7306","1462"
"Chicago IL-IN 2013","Vlg","2013","8675","3","3573","56433","76308","17.39","89.6","3.78","3.98","146370","29","301248","59","1.34","7306","1462"
"Chicago IL-IN 2014","Vlg","2014","8700","3","3445","57279","79284","17.67","94.04","3.37","3.7","147031","29","302609","61","1.34","7222","1445"
"Cincinnati OH-KY-IN 2011","Lrg","2011","1625","30","853","19370","13323","16.79","86.81","3.25","3.69","23647","20","45705","39","1.2","1149","981"
"Cincinnati OH-KY-IN 2010","Lrg","2010","1620","30","848","19314","12784","16.3","88.12","2.64","2.96","22741","19","43953","37","1.19","1140","973"
"Cincinnati OH-KY-IN 2012","Lrg","2012","1630","30","858","18550","13380","17.14","89.56","3.58","3.87","24586","21","47519","40","1.2","1171","999"
"Cincinnati OH-KY-IN 2013","Lrg","2013","1635","30","860","18070","15439","17.39","89.6","3.48","3.91","24748","21","47833","40","1.2","1162","991"
"Cincinnati OH-KY-IN 2014","Lrg","2014","1640","30","833","18088","15593","17.67","94.04","3.17","3.65","25086","21","48485","41","1.21","1159","989"
"Cleveland OH 2011","Lrg","2011","1775","28","891","18569","12222","16.79","86.81","3.25","3.69","24993","21","44075","37","1.18","1077","913"
"Cleveland OH 2010","Lrg","2010","1780","27","897","18635","12265","16.3","88.12","2.64","2.96","24315","21","42879","36","1.17","1081","916"
"Cleveland OH 2012","Lrg","2012","1770","28","886","16880","12120","17.14","89.56","3.58","3.87","25192","21","44425","37","1.18","1064","902"
"Cleveland OH 2013","Lrg","2013","1765","29","880","17868","12862","17.39","89.6","3.48","3.91","25390","22","44774","38","1.18","1056","896"
"Cleveland OH 2014","Lrg","2014","1765","28","874","18297","13364","17.67","94.04","3.16","3.67","25547","22","45051","38","1.18","1046","887"
"Colorado Springs CO 2011","Med","2011","570","70","283","4624","5129","16.79","86.81","3.27","3.67","7292","16","15208","34","1.16","355","769"
"Colorado Springs CO 2010","Med","2010","560","71","277","4315","5055","16.3","88.12","2.62","2.9","7186","16","14987","34","1.16","361","782"
"Colorado Springs CO 2012","Med","2012","580","70","288","4500","4800","17.14","89.56","3.28","3.85","7339","16","15307","34","1.16","350","758"
"Colorado Springs CO 2013","Med","2013","590","70","293","4547","5160","17.39","89.6","3.54","3.8","7387","16","15406","33","1.16","347","752"
"Colorado Springs CO 2014","Med","2014","595","71","290","4652","5366","17.67","94.04","3.33","3.59","7700","17","16058","35","1.16","356","772"
"Columbia SC 2011","Med","2011","555","73","282","6106","5174","16.79","86.81","3.14","3.53","7630","18","15526","38","1.18","410","953"
"Columbia SC 2010","Med","2010","545","73","276","6056","5132","16.3","88.12","2.56","2.8","7568","18","15398","38","1.18","419","975"
"Columbia SC 2012","Med","2012","565","73","288","5790","5150","17.14","89.56","3.27","3.72","7828","18","15928","38","1.18","412","958"
"Columbia SC 2013","Med","2013","575","72","293","5846","5270","17.39","89.6","3.23","3.7","7927","18","16130","38","1.18","411","956"
"Columbia SC 2014","Med","2014","585","72","293","6016","5460","17.67","94.04","3","3.43","8018","19","16315","38","1.18","409","951"
"Columbus OH 2011","Lrg","2011","1390","37","719","16466","10872","16.79","86.81","3.25","3.69","18089","18","36436","38","1.21","883","894"
"Columbus OH 2010","Lrg","2010","1370","36","707","16000","10500","16.3","88.12","2.64","2.96","17804","18","35862","38","1.21","896","908"
"Columbus OH 2012","Lrg","2012","1410","36","731","15245","9855","17.14","89.56","3.58","3.87","19170","19","38615","40","1.22","917","928"
"Columbus OH 2013","Lrg","2013","1440","36","747","16182","11241","17.39","89.6","3.48","3.91","19755","20","39793","40","1.22","931","943"
"Columbus OH 2014","Lrg","2014","1455","36","740","16360","11421","17.67","94.04","3.16","3.67","19870","20","40025","41","1.22","921","933"
"Corpus Christi TX 2011","Sml","2011","335","92","176","2942","2706","16.79","86.81","3.29","3.56","3561","14","6942","27","1.14","163","635"
"Corpus Christi TX 2010","Sml","2010","335","91","175","2916","2682","16.3","88.12","2.56","2.83","3514","14","6851","27","1.14","166","647"
"Corpus Christi TX 2012","Sml","2012","340","92","178","2860","2680","17.14","89.56","3.33","3.75","3866","15","7537","29","1.15","174","676"
"Corpus Christi TX 2013","Sml","2013","340","92","178","2985","2717","17.39","89.6","3.37","3.76","4068","16","7932","31","1.16","180","701"
"Corpus Christi TX 2014","Sml","2014","340","92","175","3054","2793","17.67","94.04","3.12","3.47","4110","16","8012","31","1.16","179","697"
"Dallas-Fort Worth-Arlington TX 2011","Vlg","2011","5260","6","2609","62600","44012","16.79","86.81","3.29","3.56","73483","21","172651","49","1.31","4093","1154"
"Dallas-Fort Worth-Arlington TX 2010","Vlg","2010","5160","6","2606","61386","43159","16.3","88.12","2.56","2.83","70341","20","165268","47","1.3","4042","1140"
"Dallas-Fort Worth-Arlington TX 2012","Vlg","2012","5365","6","2565","64235","43900","17.14","89.56","3.33","3.75","76819","22","180490","51","1.32","4192","1182"
"Dallas-Fort Worth-Arlington TX 2013","Vlg","2013","5435","6","2549","64670","42827","17.39","89.6","3.37","3.76","78453","22","184328","52","1.33","4220","1190"
"Dallas-Fort Worth-Arlington TX 2014","Vlg","2014","5485","6","2573","64411","41713","17.67","94.04","3.12","3.47","79392","22","186535","53","1.33","4202","1185"
"Dayton OH 2011","Med","2011","745","56","384","7384","6335","16.79","86.81","3.25","3.69","7220","12","14184","24","1.12","354","603"
"Dayton OH 2010","Med","2010","745","56","383","7318","6310","16.3","88.12","2.64","2.96","7140","12","14027","24","1.11","361","615"
"Dayton OH 2012","Med","2012","745","56","385","6905","6235","17.14","89.56","3.58","3.87","7283","12","14308","24","1.12","350","596"
"Dayton OH 2013","Med","2013","740","58","382","6957","5217","17.39","89.6","3.48","3.91","7346","13","14433","24","1.12","348","593"
"Dayton OH 2014","Med","2014","740","59","376","7006","5280","17.67","94.04","3.16","3.67","7434","13","14604","25","1.12","346","590"
"Denver-Aurora CO 2010","Lrg","2010","2360","19","1276","21817","21193","16.3","88.12","2.62","2.9","41025","22","83544","47","1.35","2043","1092"
"Denver-Aurora CO 2012","Lrg","2012","2475","18","1301","20980","20600","17.14","89.56","3.28","3.85","43146","23","87862","48","1.35","2041","1091"
"Denver-Aurora CO 2013","Lrg","2013","2550","18","1297","21242","20356","17.39","89.6","3.54","3.8","44502","24","90623","49","1.36","2075","1109"
"Denver-Aurora CO 2014","Lrg","2014","2615","17","1307","21709","21048","17.67","94.04","3.33","3.59","44922","24","91479","49","1.36","2061","1101"
"Detroit MI 2011","Vlg","2011","3850","11","2035","32778","46953","16.79","86.81","3.46","3.74","69335","23","146265","50","1.25","3482","1172"
"Detroit MI 2010","Vlg","2010","3875","11","2041","31800","47500","16.3","88.12","2.68","2.94","67483","23","142358","48","1.25","3496","1177"
"Detroit MI 2012","Vlg","2012","3825","12","2026","30085","45295","17.14","89.56","3.68","3.93","70879","24","149522","51","1.26","3488","1174"
"Detroit MI 2013","Vlg","2013","3805","12","2015","32689","43795","17.39","89.6","3.65","3.96","71384","24","150587","52","1.26","3462","1165"
"Detroit MI 2014","Vlg","2014","3825","12","2072","33441","44627","17.67","94.04","3.3","3.72","73645","25","155358","52","1.27","3514","1183"
"El Paso TX-NM 2011","Med","2011","775","55","402","5684","6314","16.79","86.81","3.29","3.56","9008","16","18408","33","1.22","445","770"
"El Paso TX-NM 2010","Med","2010","750","55","388","5569","6186","16.3","88.12","2.56","2.83","8892","15","18171","34","1.22","453","784"
"El Paso TX-NM 2012","Med","2012","790","54","411","5800","6225","17.14","89.56","3.33","3.75","9233","16","18868","34","1.22","447","773"
"El Paso TX-NM 2013","Med","2013","805","54","418","5806","5667","17.39","89.6","3.37","3.76","9311","16","19028","33","1.22","444","768"
"El Paso TX-NM 2014","Med","2014","820","54","419","5777","5633","17.67","94.04","3.12","3.47","9360","16","19127","33","1.22","439","760"
"Eugene OR 2011","Sml","2011","250","96","111","1763","1866","16.79","86.81","3.56","3.91","3571","18","6086","32","1.19","156","810"
"Eugene OR 2010","Sml","2010","245","96","108","1746","1860","16.3","88.12","2.86","3.1","3425","18","5837","31","1.18","155","802"
"Eugene OR 2012","Sml","2012","250","96","111","1605","1910","17.14","89.56","3.67","4.06","3624","19","6177","32","1.19","156","806"
"Eugene OR 2013","Sml","2013","250","96","112","1583","1852","17.39","89.6","3.7","3.92","3678","19","6268","33","1.19","156","806"
